time,Number_of_real_part,max_temp,min_temp,average_temp,max_rise_temp,min_rise_temp,average_rise_temp
4.14799952507019,263,0,0,0,0,0,0
4.381258249282837,474,207,188,198,887.426614797,887.426614797,848.842848937
5.3710198402404785,477,207,189,198,0.0,0.0,0.0
6.3920066356658936,484,208,189,198,0.97944459662,0.97944459662,0.0
7.417757749557495,479,207,189,198,248.59831644,248.59831644,0.0
8.511599063873291,481,208,188,198,0.914209389344,0.914209389344,0.0
9.540111064910889,473,208,186,198,0.0,0.0,0.0
10.622350931167603,478,208,188,198,0.0,0.0,0.0
11.649755239486694,474,208,187,198,0.0,0.0,0.0
12.687336444854736,480,209,188,199,0.963779986401,0.963779986401,0.963779986401
13.755656719207764,476,208,187,198,238.692465286,238.692465286,238.692465286
14.796556234359741,475,208,188,198,0.0,0.0,0.0
15.839010953903198,476,208,188,198,0.0,0.0,0.0
16.9324791431427,480,208,187,198,0.0,0.0,0.0
17.977913856506348,483,208,188,199,0.0,0.0,0.956539884526
18.99910593032837,503,211,188,199,2.9377431307,2.9377431307,0.0
20.04422950744629,486,223,187,202,11.4818957899,11.4818957899,2.87047394747
21.074883937835693,182,40,0,21,70.8287839722,70.8287839722,72.7692986015
22.083367347717285,236,40,0,21,0.0,0.0,0.0
23.186030864715576,269,40,0,21,0.0,0.0,0.0
24.229024171829224,279,40,0,21,0.0,0.0,0.0
25.301453113555908,256,40,0,21,0.0,0.0,0.0
26.32970666885376,258,40,0,21,0.0,0.0,0.0
27.41986894607544,262,40,0,21,0.0,0.0,0.0
28.44072651863098,302,41,0,22,0.979568577325,0.979568577325,0.979568577325
29.46821141242981,300,42,0,23,0.97325031836,0.97325031836,0.97325031836
30.468984127044678,302,41,0,23,254.803109913,254.803109913,0.0
31.54067897796631,277,45,0,17,3.73240572777,3.73240572777,233.275357986
32.64485692977905,250,40,0,16,227.318431407,227.318431407,230.941035891
33.674460887908936,167,203,0,59,158.313299704,158.313299704,41.7636312103
34.75797152519226,498,209,188,200,5.53755523346,5.53755523346,130.132547986
35.79598951339722,482,208,188,199,245.660482668,245.660482668,245.660482668
36.816070795059204,485,209,189,200,0.980314037692,0.980314037692,0.980314037692
37.89869022369385,475,208,188,199,235.539833533,235.539833533,235.539833533
